STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,RANK
Jaylen Brown,Boston,Celtics,Payton Pritchard,11.664517348588486,6.904862579281183,0.5158562367864694,0.4534883720930232,3.7903101604278113,11,False,2
Jaylen Brown,Boston,Celtics,Sam Hauser,9.038431057584688,3.3659378596087466,-0.21173762945914842,0.46260069044879204,5.421630136986298,11,False,3
Jaylen Brown,Boston,Celtics,Torrey Craig,6.884464285714285,2.03125,0.75,1.1294642857142856,2.973749999999999,7,False,4
Jaylen Brown,Boston,Celtics,Luke Kornet,6.410574660633481,2.2941176470588234,0.49411764705882355,1.2176470588235295,2.4046923076923044,10,False,5
Jayson Tatum,Boston,Celtics,Payton Pritchard,16.390962148962146,5.540293040293042,1.3919413919413923,1.4945054945054945,7.964222222222219,6,False,1
Jayson Tatum,Boston,Celtics,Baylor Scheierman,12.009420289855072,5.27536231884058,0.20289855072463764,0.6811594202898551,5.85,6,False,2
Jayson Tatum,Boston,Celtics,Sam Hauser,6.300757575757572,1.7857142857142847,-0.5238095238095237,1.035714285714286,4.003138528138525,6,False,3
Jayson Tatum,Boston,Celtics,Al Horford,5.4656701856570775,3.3756097560975613,1.3658536585365855,-0.024390243902439046,0.7485970149253696,5,False,4
Jayson Tatum,Boston,Celtics,Jaylen Brown,5.397948253131172,-1.2951219512195138,3.292682926829268,0.36829268292682915,3.0320945945945894,5,False,5
Jimmy Butler,Golden State,Warriors,Trayce Jackson-Davis,25.12295638861304,5.430622009569378,1.7779106858054226,4.580940988835725,13.333482704402517,57,False,1
Jimmy Butler,Golden State,Warriors,Jonathan Kuminga,10.878722480864827,4.932758620689654,0.4077586206896553,1.9853448275862067,3.55286041189931,40,False,2
Jimmy Butler,Golden State,Warriors,Kevon Looney,7.773912655971477,1.4967532467532472,0.8636363636363636,1.5146103896103895,3.8989126559714773,56,False,3
Jimmy Butler,Golden State,Warriors,Jackson Rowe,6.192500000000002,0.1499999999999999,0.3,1.0,4.7425000000000015,8,False,4
Jimmy Butler,Golden State,Warriors,Pat Spencer,3.3605177387914225,0.3337320574162681,0.5825358851674642,0.41267942583732065,2.0315703703703694,38,False,5
Joel Embiid,Philadelphia,76ers,Chuma Okeke,34.91666666666667,7.166666666666667,1.75,5.5,20.5,6,False,1
Joel Embiid,Philadelphia,76ers,Lonnie Walker IV,31.111303258145362,11.761904761904763,2.380952380952381,1.9047619047619047,15.063684210526317,21,False,2
Joel Embiid,Philadelphia,76ers,Adem Bona,19.10425437062937,4.7615384615384615,0.3006993006993007,3.4083916083916086,10.633624999999997,55,False,3
Joel Embiid,Philadelphia,76ers,Jared Butler,14.597788461538457,2.092307692307692,2.9230769230769234,0.7461538461538462,8.836249999999996,26,False,4
Joel Embiid,Philadelphia,76ers,Ricky Council IV,13.743811093175498,3.813559322033898,0.3934624697336562,1.7391041162227603,7.797685185185184,59,False,5
Josh Hart,New York,Knicks,Precious Achiuwa,32.239483933787724,8.678481012658228,0.9164556962025318,5.625316455696202,17.019230769230766,5,False,1
Josh Hart,New York,Knicks,Miles McBride,21.071076086956527,7.056521739130434,2.9239130434782608,2.217391304347826,8.873250000000006,5,False,2
Josh Hart,New York,Knicks,Cameron Payne,11.730176645225141,3.1489361702127656,2.5659574468085107,0.16595744680851054,5.8493255813953535,5,False,3
