STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE
Scottie Barnes,Toronto,Raptors,Jonathan Mogbo,-1.7959178321678335,-1.3125,-0.165909090909091,0.6318181818181818,-0.9493269230769243,16,False
Austin Reaves,Los Angeles,Lakers,Maxwell Lewis,-1.8065700483091784,0.0608695652173914,0.26956521739130435,-0.23478260869565215,-1.902222222222222,5,False
Trey Murphy III,New Orleans,Pelicans,Karlo Matkovic,-1.8321038545176473,0.6949806949806945,0.12741312741312738,-0.9395109395109396,-1.7149867374005296,21,False
Cade Cunningham,Detroit,Pistons,Simone Fontecchio,-1.8426027397260283,0.11428571428571477,-0.2410714285714286,-1.0232142857142856,-0.6926027397260288,7,False
Jamal Murray,Denver,Nuggets,Dario Saric,-1.9311755524120757,-0.355885078776645,0.047265987025023215,-0.4346617238183503,-1.1878947368421038,13,False
Andrew Wiggins,Miami,Heat,Haywood Highsmith,-1.9534545454545407,0.7901477832512311,-0.5995073891625615,-0.17684729064039395,-1.9672476489028163,58,False
Anthony Davis,Dallas,Mavericks,Spencer Dinwiddie,-1.9665296803652916,0.7466666666666679,-2.033333333333333,-0.833333333333333,0.1534703196347067,75,False
Keyonte George,Utah,Jazz,Patty Mills,-2.006753246753247,-0.6363636363636365,-0.3116883116883117,-0.048701298701298745,-1.0099999999999998,7,False
Kyle Kuzma,Milwaukee,Bucks,Taurean Prince,-2.035338624338624,-0.9222222222222216,0.22010582010582014,0.5724867724867728,-1.905708994708995,54,False
De'Aaron Fox,San Antonio,Spurs,Devin Vassell,-2.121009563722329,-0.6513002364066214,0.23995271867612278,-0.6690307328605201,-1.0406313131313105,47,False
Victor Wembanyama,San Antonio,Spurs,Jeremy Sochan,-2.125459001782529,-0.031862745098040435,0.08088235294117663,-0.6397058823529411,-1.534772727272724,24,False
Malik Monk,Sacramento,Kings,Domantas Sabonis,-2.1331888111888073,-1.9720279720279699,-1.0629370629370634,-0.3748251748251743,1.2766013986014002,11,False
Jalen Johnson,Atlanta,Hawks,Garrison Mathews,-2.152505659309565,-2.307603686635945,-0.49135944700460826,-0.06797235023041481,0.7144298245614031,31,False
Trae Young,Atlanta,Hawks,Dyson Daniels,-2.248149350649337,1.1896103896103902,-0.2727272727272725,-1.522077922077922,-1.6429545454545327,5,False
Tyrese Maxey,Philadelphia,76ers,Guerschon Yabusele,-2.281140526140528,-1.221978021978023,-0.9659340659340658,-1.2230769230769232,1.129848484848484,13,False
RJ Barrett,Toronto,Raptors,Scottie Barnes,-2.3268054563255856,0.6052631578947363,-1.1811740890688256,-0.6295546558704448,-1.1213398692810514,19,False
Davion Mitchell,Miami,Heat,Haywood Highsmith,-2.416966208133962,0.4531100478468906,-0.5406698564593302,-0.37846889952153084,-1.9509374999999913,55,False
Cam Thomas,Brooklyn,Nets,Day'Ron Sharpe,-2.4245962732919253,0.48214285714285676,-0.9285714285714286,-0.36309523809523814,-1.615072463768115,28,False
Paolo Banchero,Orlando,Magic,Caleb Houstan,-2.448244033220446,-0.4879454926624738,-0.03511530398322854,-0.32547169811320753,-1.599711538461536,36,False
Cameron Johnson,Brooklyn,Nets,Drew Timme,-2.4650000000000043,-3.7142857142857135,0.2857142857142856,-1.0,1.9635714285714236,7,False
Kyrie Irving,Dallas,Mavericks,Markieff Morris,-2.4792377260981926,0.39276485788113696,0.04134366925064599,-0.05167958656330751,-2.861666666666668,9,False
Nikola Vucevic,Chicago,Bulls,Emanuel Miller,-2.511388888888889,-1.1111111111111112,0.0888888888888889,-0.2666666666666666,-1.2225000000000001,5,False
Devin Booker,Phoenix,Suns,Damion Lee,-2.529853164556962,-0.41455696202531644,-0.17721518987341772,-0.15348101265822783,-1.7846000000000002,8,False
Kevin Durant,Phoenix,Suns,Jalen Bridges,-2.5333333333333323,0.7857142857142858,-0.3,-0.8142857142857144,-2.2047619047619036,7,False
Bilal Coulibaly,Washington,Wizards,Kyle Kuzma,-2.5376875000000023,0.025000000000000355,-0.3312499999999998,0.20624999999999982,-2.4376875000000027,5,False
Brandon Ingram,New Orleans,Pelicans,Javonte Green,-2.5792929292929294,-1.333333333333333,-0.148989898989899,-0.3787878787878789,-0.7181818181818187,36,False
Devin Booker,Phoenix,Suns,Jalen Bridges,-2.5824999999999987,-0.7575757575757576,-0.2727272727272727,0.36363636363636365,-1.9158333333333322,6,False
Donovan Mitchell,Cleveland,Cavaliers,Jarrett Allen,-2.6092352941176493,-1.5176470588235293,0.5764705882352941,0.9176470588235297,-2.5857058823529435,10,False
Herbert Jones,New Orleans,Pelicans,Yves Missi,-2.6460033444816133,-0.7589743589743589,-0.27051282051282044,-1.0628205128205126,-0.5536956521739214,52,False
Dyson Daniels,Atlanta,Hawks,Zaccharie Risacher,-2.655486486486481,-2.1871794871794865,-0.15384615384615374,0.641025641025641,-0.9554864864864818,5,False
Kyle Kuzma,Milwaukee,Bucks,Giannis Antetokounmpo,-2.6809261974584606,-0.41666666666666785,-1.903897849462365,-0.9831989247311821,0.6228372434017544,48,False
Rui Hachimura,Los Angeles,Lakers,Cam Reddish,-2.719162895927598,-1.8115384615384618,-0.4807692307692308,-0.9653846153846154,0.5385294117647099,15,False
Lauri Markkanen,Utah,Jazz,Collin Sexton,-2.7436842105263164,-1.2799999999999994,-1.0,-1.66,1.1963157894736831,25,False
Jaylen Brown,Boston,Celtics,Xavier Tillman,-2.754362906170136,0.10307898259705495,0.10174029451137884,-0.06827309236947798,-2.8909090909090915,9,False
Franz Wagner,Orlando,Magic,Jalen Suggs,-2.783928571428575,0.4107142857142865,-1.1607142857142856,-0.2232142857142856,-1.8107142857142904,14,False
Jayson Tatum,Boston,Celtics,Neemias Queta,-2.7947048748353107,0.6449275362318843,-0.08695652173913049,-0.23913043478260887,-3.1135454545454557,6,False
Jalen Johnson,Atlanta,Hawks,Keaton Wallace,-2.8188461538461542,-0.6523076923076925,-0.6384615384615384,-0.7430769230769231,-0.7850000000000001,25,False
Victor Wembanyama,San Antonio,Spurs,Chris Paul,-2.8254501800720284,0.3235294117647065,-0.9529411764705875,-0.4541176470588235,-1.741920768307324,34,False
Luka Doncic,Los Angeles,Lakers,Austin Reaves,-2.845660760075008,-1.6720884840598558,1.2693558880936893,-0.6668835393623942,-1.7760446247464472,53,False
Evan Mobley,Cleveland,Cavaliers,JT Thor,-2.8541666666666674,-2.0,0.12000000000000001,-0.64,-0.3341666666666674,5,False
Cameron Johnson,Brooklyn,Nets,Nic Claxton,-2.8649090909090917,1.09090909090909,-0.5636363636363637,-1.4727272727272727,-1.9194545454545455,15,False
Brandon Ingram,New Orleans,Pelicans,Trey Jemison III,-2.8935007974481657,-0.9569377990430621,-0.0574162679425837,-0.8708133971291867,-1.0083333333333329,11,False
Jalen Williams,Oklahoma City,Thunder,Alex Caruso,-2.894279942279937,-2.4074074074074074,-0.7037037037037035,-0.9999999999999998,1.216831168831174,9,False
Jalen Williams,Oklahoma City,Thunder,Ousmane Dieng,-2.918176291793311,-0.5652173913043477,-0.3229813664596274,-0.9213250517598344,-1.1086524822695019,7,False
Stephen Curry,Golden State,Warriors,Andrew Wiggins,-2.926298701298699,-3.9610389610389607,-0.42207792207792205,-1.0681818181818183,2.525000000000002,7,False
Nikola Jokic,Denver,Nuggets,Michael Porter Jr.,-2.926634199134201,-0.730519480519483,0.06385281385281383,-0.27164502164502213,-1.9883225108225098,11,False
Domantas Sabonis,Sacramento,Kings,Zach LaVine,-2.9280000000000066,-2.585000000000001,-0.41500000000000004,0.4750000000000001,-0.4030000000000058,8,False
Kawhi Leonard,Los Angeles,Clippers,Bones Hyland,-2.937608359133126,-0.013157894736842035,-0.019736842105263164,-0.5361842105263158,-2.3685294117647047,38,False
Luka Doncic,Los Angeles,Lakers,LeBron James,-3.000655625436748,-1.26554856743536,1.7617051013277436,-0.9231306778476593,-2.573681481481472,53,False
Brandon Ingram,New Orleans,Pelicans,Jeremiah Robinson-Earl,-3.050494071146242,-2.172727272727273,0.1454545454545455,-0.8500000000000001,-0.1732213438735144,60,False
Cam Thomas,Brooklyn,Nets,D'Angelo Russell,-3.0559523809523794,-0.033333333333333215,-0.6055555555555552,-0.22777777777777786,-2.189285714285713,20,False
Domantas Sabonis,Sacramento,Kings,Mason Jones,-3.119015151515151,-0.8484848484848486,0.10606060606060608,0.09090909090909083,-2.4674999999999994,6,False
Bilal Coulibaly,Washington,Wizards,Corey Kispert,-3.1484429824561424,-1.7833333333333332,-0.08333333333333326,-0.016666666666666607,-1.2651096491228095,8,False
Domantas Sabonis,Sacramento,Kings,Markelle Fultz,-3.1513293650793632,-0.9555555555555555,-0.061111111111111116,-0.3555555555555556,-1.779107142857141,9,False
Nikola Jokic,Denver,Nuggets,Christian Braun,-3.1874190177638364,-0.2727272727272716,-0.17045454545454541,-1.0340909090909092,-1.7101462904911102,11,False
Dennis Schroder,Brooklyn,Nets,Cameron Johnson,-3.2139323859625137,-1.85452961672474,0.43205574912891986,-0.6777003484320558,-1.1137581699346377,41,False
Kawhi Leonard,Los Angeles,Clippers,Ivica Zubac,-3.2245696324951627,-2.354448742746616,-0.010638297872340274,-0.08510638297872397,-0.7743762088974826,44,False
Andrew Wiggins,Miami,Heat,Bam Adebayo,-3.2508205049261103,-1.7423645320197068,0.6354679802955663,0.7157635467980299,-2.8596874999999997,58,False
Jalen Brunson,New York,Knicks,Karl-Anthony Towns,-3.2570444596054333,0.5751748251748232,-0.30332167832167833,-2.47027972027972,-1.0586178861788582,13,False
Julius Randle,Minnesota,Timberwolves,Leonard Miller,-3.301591124063706,-0.3520208604954368,-0.05084745762711865,-0.38852672750977835,-2.510196078431372,13,False
De'Aaron Fox,Sacramento,Kings,Terry Taylor,-3.3166666666666664,0.0,-0.26666666666666666,-0.033333333333333354,-3.0166666666666666,6,False
Michael Porter Jr.,Denver,Nuggets,Dario Saric,-3.3249999999999997,1.6,0.16666666666666669,0.611111111111111,-5.7027777777777775,6,False
CJ McCollum,New Orleans,Pelicans,Bruce Brown,-3.3435714285714297,-3.057142857142857,-1.3857142857142857,0.4142857142857146,0.6849999999999987,7,False
